model,image_id,gt_chars,pred_chars,cer_%,accuracy_%,time_sec,status
Palm Leaf CNN (Baseline),img001,545,543,4.95,95.05,0.47,OK
PP-OCRv5,img001,545,545,71.19,28.81,1.42,OK
DeepSeek-OCR,img001,545,545,77.06,22.94,3.94,OK
Pixtral-12B,img001,545,545,81.28,18.72,3.92,OK
Donut,img001,545,545,87.71,12.29,1.43,OK
PARSeq,img001,545,545,95.41,4.59,0.44,OK
Palm Leaf CNN (Baseline),img002,319,318,6.9,93.1,0.22,OK
PP-OCRv5,img002,319,319,71.16,28.84,1.39,OK
DeepSeek-OCR,img002,319,319,77.43,22.57,3.91,OK
Pixtral-12B,img002,319,319,80.88,19.12,3.87,OK
Donut,img002,319,319,87.77,12.23,1.38,OK
PARSeq,img002,319,319,95.61,4.39,0.43,OK
Palm Leaf CNN (Baseline),img003,238,236,14.71,85.29,0.18,OK
PP-OCRv5,img003,238,238,71.01,28.99,1.42,OK
DeepSeek-OCR,img003,238,238,77.73,22.27,3.86,OK
Pixtral-12B,img003,238,238,81.09,18.91,3.94,OK
Donut,img003,238,238,87.82,12.18,1.39,OK
PARSeq,img003,238,238,95.38,4.62,0.45,OK
Palm Leaf CNN (Baseline),img004,288,289,4.86,95.14,0.18,OK
PP-OCRv5,img004,288,288,71.53,28.47,1.42,OK
DeepSeek-OCR,img004,288,288,77.43,22.57,3.88,OK
Pixtral-12B,img004,288,288,80.56,19.44,3.92,OK
Donut,img004,288,288,87.85,12.15,1.38,OK
PARSeq,img004,288,288,95.49,4.51,0.46,OK
Palm Leaf CNN (Baseline),img005,262,259,5.73,94.27,0.19,OK
PP-OCRv5,img005,262,262,71.37,28.63,1.41,OK
DeepSeek-OCR,img005,262,262,77.48,22.52,3.87,OK
Pixtral-12B,img005,262,262,80.92,19.08,3.91,OK
Donut,img005,262,262,87.79,12.21,1.4,OK
PARSeq,img005,262,262,95.42,4.58,0.46,OK
Palm Leaf CNN (Baseline),img006,291,288,4.81,95.19,0.19,OK
PP-OCRv5,img006,291,291,71.48,28.52,1.43,OK
DeepSeek-OCR,img006,291,291,77.32,22.68,3.93,OK
Pixtral-12B,img006,291,291,81.1,18.9,3.88,OK
Donut,img006,291,291,87.63,12.37,1.4,OK
PARSeq,img006,291,291,95.53,4.47,0.47,OK
Palm Leaf CNN (Baseline),img007,273,265,23.08,76.92,0.17,OK
PP-OCRv5,img007,273,273,70.7,29.3,1.39,OK
DeepSeek-OCR,img007,273,273,77.29,22.71,3.87,OK
Pixtral-12B,img007,273,273,80.59,19.41,3.9,OK
Donut,img007,273,273,87.55,12.45,1.4,OK
PARSeq,img007,273,273,95.6,4.4,0.45,OK
Palm Leaf CNN (Baseline),img008,268,257,25.0,75.0,0.18,OK
PP-OCRv5,img008,268,268,71.27,28.73,1.41,OK
DeepSeek-OCR,img008,268,268,77.61,22.39,3.9,OK
Pixtral-12B,img008,268,268,80.97,19.03,3.89,OK
Donut,img008,268,268,87.69,12.31,1.39,OK
PARSeq,img008,268,268,95.52,4.48,0.47,OK
Palm Leaf CNN (Baseline),img009,315,303,23.49,76.51,0.2,OK
PP-OCRv5,img009,315,315,71.43,28.57,1.42,OK
DeepSeek-OCR,img009,315,315,77.46,22.54,3.86,OK
Pixtral-12B,img009,315,315,80.95,19.05,3.9,OK
Donut,img009,315,315,87.62,12.38,1.42,OK
PARSeq,img009,315,315,95.56,4.44,0.43,OK
Palm Leaf CNN (Baseline),img010,273,273,5.49,94.51,0.17,OK
PP-OCRv5,img010,273,273,71.43,28.57,1.38,OK
DeepSeek-OCR,img010,273,273,77.66,22.34,3.88,OK
Pixtral-12B,img010,273,273,81.32,18.68,3.93,OK
Donut,img010,273,273,87.55,12.45,1.43,OK
PARSeq,img010,273,273,95.6,4.4,0.45,OK
